"Campaign name","Ad set name",Gender,Age,"Ad name","Amount spent (THB)",Reach,Impressions,"Link clicks","Landing page views","Website adds to cart","Website purchases","Website purchases conversion value","Reporting starts","Reporting ends"
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,35-44,"ผ่อนทอง 0% June 2026",1032.6972985,49606,99831,1339,1311,42,1,4581,2026-06-01,2026-06-17
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,35-44,"Laser Your Pride Be Proud 1-10 June 2026-Conversion",808.50365904,6873,17976,215,185,181,10,247984,2026-06-01,2026-06-17
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,25-34,"ผ่อนทอง 0% June 2026",782.42836412,45561,78690,1058,1024,24,,,2026-06-01,2026-06-17
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,35-44,"นาคครุฑเสริมบารมี | 11- 20 Jun 26",766.21907002,11158,25857,165,129,57,2,6101,2026-06-01,2026-06-17
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,25-34,"นาคครุฑเสริมบารมี | 11- 20 Jun 26",671.40088764,9944,25607,127,95,59,6,215025,2026-06-01,2026-06-17
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,25-34,"Laser Your Pride Be Proud 1-10 June 2026-Conversion",635.59432197,6688,17321,223,187,223,14,256883,2026-06-01,2026-06-17
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,35-44,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",574.47745564,9244,13371,270,234,107,6,210333,2026-06-01,2026-06-17
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,35-44,"Laser Your Pride Be Proud 1-10 June 2026-Conversion",446.1611482,6624,7112,41,25,13,3,88721,2026-06-01,2026-06-17
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,45-54,"นาคครุฑเสริมบารมี | 11- 20 Jun 26",375.81659927,5413,10747,84,62,20,7,182830,2026-06-01,2026-06-17
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,25-34,"Laser Your Pride Be Proud 1-10 June 2026-Conversion",346.17985459,6914,7546,45,17,11,,,2026-06-01,2026-06-17
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,male,25-34,"ผ่อนทอง 0% June 2026",341.59897161,18813,33887,474,453,11,9,101181,2026-06-01,2026-06-17
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,35-44,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",322.88943115,3867,6110,117,100,51,5,74371,2026-06-01,2026-06-17
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,25-34,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",312.06318575,5809,9102,140,124,101,2,16873,2026-06-01,2026-06-17
"4040 | ONN | website Traffic Campaign  | Live | June 2026","Live | June 2026-Broad",female,25-34,"Live | 10 June 2026",273.35701383,11629,12191,94,79,36,4,149038,2026-06-01,2026-06-17
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,male,35-44,"นาคครุฑเสริมบารมี | 11- 20 Jun 26",271.46150092,4964,11065,65,47,20,1,33545,2026-06-01,2026-06-17
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,45-54,"Laser Your Pride Be Proud 1-10 June 2026-Conversion",260.06404341,1937,4900,85,59,67,1,34638,2026-06-01,2026-06-17
